channel_type,country,date,e_m_earnings,e_y_earnings,grade,sub_change,sub_last30,subs,uploads,video_view,view_change,view_last30,youtuber
Film,IN,"Sep 10th, 2014",$11.5K - $184.2K,$138.1K - $2.2M,A-,-24,232368,2792387,198,716545677,-24,46043100,AD-WISE MEDIA ACTION MOVIEPLEX
Film,JP,"Aug 30th, 2010",$12.5K - $200.3K,$150.2K - $2.4M,A-,24,98095,1196935,143,681947239,20,50070900,fumikiri channel
Film,IT,"Mar 29th, 2016",$14K - $224.6K,$168.5K - $2.7M,A-,-6,137573,1586672,344,514652281,197,56151900,Ameli TVIT
Film,RU,"Mar 17th, 2014",$16.1K - $257.9K,$193.4K - $3.1M,A-,-16,98370,3223811,1639,2507243973,0,64480800,Анимационные сериалы
Film,,"Jul 12th, 2017",$15.2K - $243.4K,$182.6K - $2.9M,A-,-17,252309,1994299,70,317120714,6,60859500,Popular Diginet Movies
Film,,"Mar 15th, 2016",$14.1K - $225.8K,$169.4K - $2.7M,A-,40,94024,1545853,893,1104059652,26,56451600,Мульт
Film,IN,"Aug 26th, 2016",$18.7K - $298.9K,$224.2K - $3.6M,A-,48,218232,2710704,149,1276017683,37,74727000,Videogyan Kids Shows - Cartoon Animation For…
Film,DE,"Sep 15th, 2012",$12.1K - $194.4K,$145.8K - $2.3M,A-,53,124774,2158793,2750,1476608647,55,48597600,clips mix
Film,RU,"Jul 3rd, 2015",$13.9K - $222.4K,$166.8K - $2.7M,A-,17,57386,773020,993,771884640,32,55601400,"Киножурнал ""Ералаш""…"
Film,EG,"Jun 27th, 2010",$8.2K - $130.6K,$97.9K - $1.6M,A-,425,55554,744086,523,402336007,543,32642100,Etisalat Misr I اتصالات مصر
Film,RU,"Jul 21st, 2014",$13.9K - $222.6K,$167K - $2.7M,A-,10,101580,1576535,71,1079192843,17,55660200,СИНИЙ ТРАКТОР - Детские…
Film,SA,"Jul 26th, 2010",$14.9K - $238K,$178.5K - $2.9M,A-,21,207509,1665357,51,468168133,32,59495400,Baby TV كتاكيت بيبي
Film,ES,"Jul 31st, 2007",$14.9K - $237.9K,$178.4K - $2.9M,A-,-5,95718,5906312,1083,4633132151,11,59468400,Pocoyo
Film,US,"Mar 13th, 2007",$16.6K - $265.3K,$199K - $3.2M,A-,-5,210490,4960676,8,2742079925,1,66321600,icanrockyourworld
Film,US,"Dec 5th, 2005",$14.5K - $231.7K,$173.8K - $2.8M,A-,146,115706,3657689,1369,3360373748,45,57932100,Tayo the Little Bus
Film,US,"Sep 5th, 2008",$9.1K - $146.1K,$109.6K - $1.8M,A-,184,71502,910302,1298,991179945,92,36524700,Lionsgate Movies
Film,US,"Dec 15th, 2011",$18.8K - $300.7K,$225.5K - $3.6M,A-,-6,121716,4595209,397,3454743413,-1,75174000,Morphle TV
Film,VN,"Jul 5th, 2016",$14.7K - $234.5K,$175.9K - $2.8M,A-,62,181612,903080,67,323213173,48,58626900,VN Baby's Music
Film,KR,"Oct 11th, 2016",$15.4K - $245.6K,$184.2K - $2.9M,A-,3,143916,3456288,94,684975613,11,61410600,Boram Tube [보람튜브]
Film,FR,"Oct 24th, 2014",$18.8K - $300.4K,$225.3K - $3.6M,A-,91,214355,3117769,483,1693320663,72,75107100,OGGY
Film,IT,"Jan 19th, 2011",$18.2K - $291K,$218.3K - $3.5M,A-,0,126809,1737186,1441,1099805637,13,72750300,DisneyJuniorIT
Film,US,"Jun 20th, 2016",$19.8K - $316.5K,$237.4K - $3.8M,A-,11,186760,923883,353,428944798,16,79128900,Мувики.рф — сцены из…
Film,US,"Mar 12th, 2015",$15.1K - $240.9K,$180.7K - $2.9M,A-,155,82546,1432668,781,1116705198,29,60223800,DC Kids
Film,US,"Jan 17th, 2015",$15.1K - $241.4K,$181K - $2.9M,A,44,141162,2196350,304,1077851766,45,60345900,Bananakids by Totoykids
Film,RO,"May 25th, 2014",$18.6K - $297.3K,$223K - $3.6M,A,-4,141673,1870603,119,1804353784,5,74325600,Cantece Gradinita .ro
Film,IN,"Oct 22nd, 2011",$17.1K - $274.2K,$205.6K - $3.3M,A,27,167914,1746276,1046,650566327,36,68537700,NH Studioz
Film,,"Aug 29th, 2016",$20.1K - $321.2K,$240.9K - $3.9M,A,50,294911,1784178,118,229736990,84,80303700,Great Indian Comedy
Film,BR,"Oct 18th, 2014",$13.5K - $215.9K,$162K - $2.6M,A,33,319397,9012623,522,1316141635,36,53984400,Invento na Hora
Film,IN,"Apr 16th, 2009",$9.7K - $155.4K,$116.5K - $1.9M,A,3,88004,670493,665,489751529,940,38837700,Vodafone
Film,US,"Oct 31st, 2013",$20.6K - $330.2K,$247.6K - $4M,A,6,128203,4502114,1165,3084106162,-16,82548000,Chotoonz TV - Funny Cartoons for Kids
Film,,"Jan 8th, 2016",$19K - $303.4K,$227.5K - $3.6M,A,49,157157,2129476,94,831508028,138,75843900,A-Boogie Wit Da Hoodie
Film,IN,"Aug 17th, 2015",$18.9K - $302.4K,$226.8K - $3.6M,A,24,183211,2571099,959,927978439,17,75590700,Pen Multiplex
Film,ES,"Sep 1st, 2014",$18.2K - $290.6K,$217.9K - $3.5M,A,48,146090,3497333,125,1562436250,-2,72643200,Cleo & Cuquín - Familia Telerín
Film,IN,"Nov 8th, 2017",$16.9K - $270.5K,$202.9K - $3.2M,A,55,228711,1881012,886,571904703,59,67625700,Wow Kidz Action
Film,IN,"Mar 4th, 2015",$17.5K - $280.2K,$210.1K - $3.4M,A,79,325463,4777019,114,221171007,83,0,GoldminesAction
Film,FR,"Dec 7th, 2007",$17.3K - $277.4K,$208K - $3.3M,A,81,103976,2115055,2375,1978369795,54,69339300,Disney FR
Film,US,"Sep 27th, 2013",$21.7K - $347.2K,$260.4K - $4.2M,A,50,107543,3067715,9196,4110938695,-53,86796300,Hasbro
Film,PL,"Jun 18th, 2013",$21.4K - $342.1K,$256.6K - $4.1M,A,24,235926,2719445,369,1334987713,26,85533000,Bazylland
Film,,"Feb 15th, 2016",$23.9K - $381.7K,$286.3K - $4.6M,A,-12,328806,5615834,258,1811729301,0,95417100,Masha e o Urso
Film,RU,"Feb 13th, 2007",$20.2K - $323.4K,$242.5K - $3.9M,A,22,103381,3650243,780,7110735586,34,80838300,Лунтик
Film,BR,"Dec 19th, 2014",$10.5K - $168.4K,$126.3K - $2M,A,352,-154,103404,66,42339457,-196,42097500,Mais Educativo
Film,IN,"Aug 19th, 2015",$23.1K - $370.1K,$277.6K - $4.4M,A,37,290682,3073973,280,1229457622,201,92531400,Premium Digiplex Movies
Film,TR,"Mar 6th, 2016",$26.4K - $423K,$317.2K - $5.1M,A,10,59635,2743885,4781,4075104958,25,105739500,prenses elif
Film,,"Feb 12th, 2016",$21.3K - $340.8K,$255.6K - $4.1M,A,20,271429,4754549,250,1848905360,23,85202100,Masha y el Oso
Film,,"Dec 23rd, 2016",$20.1K - $321K,$240.7K - $3.9M,A,52,313107,2019262,21,491286178,52,80242200,BaBYBo
Film,MY,"Nov 9th, 2009",$21.4K - $342.2K,$256.6K - $4.1M,A,22,183164,3840562,1102,2394958426,20,85541400,Les' Copaque Production
Film,EG,"Aug 28th, 2016",$22.1K - $353.2K,$264.9K - $4.2M,A,40,131983,1089547,248,736585870,39,88291800,عائلة عمر
Film,IN,"Feb 19th, 2016",$22K - $351.4K,$263.6K - $4.2M,A,93,287832,2576631,367,933611275,68,87851700,Bhojpuri Movies
Film,TR,"May 29th, 2015",$22.2K - $356K,$267K - $4.3M,A,35,57295,1241340,3247,1957519040,45,88990500,Kırgın Çiçekler
Film,IN,"Apr 27th, 2013",$1.4K - $21.8K,$16.4K - $261.6K,A,9,34772,592654,1015,151280480,-12,5450340,21CenturyProduction
Film,AU,"Nov 8th, 2017",$25K - $400.4K,$300.3K - $4.8M,A,-18,392830,2186357,135,540075525,-5,100112100,Riki MUSIC
Film,,"Oct 10th, 2015",$19.8K - $317K,$237.8K - $3.8M,A,34,401225,4088913,110,359578887,25,79251300,Goldmines Housefull
Film,MX,"Jul 28th, 2014",$25.2K - $403.4K,$302.5K - $4.8M,A,37,467991,5405540,272,921142641,91,100847700,Peppa Pig Español Latino - Canal Oficial
Film,US,"Sep 9th, 2013",$26.9K - $431K,$323.3K - $5.2M,A,-8,251685,5703669,430,2948616238,0,107755500,Official Pink Panther
Film,TR,"Jul 7th, 2015",$23.3K - $372.5K,$279.4K - $4.5M,A,-6,83006,2245864,1214,1686558026,37,93120900,Toys and Fun
Film,US,"Feb 7th, 2015",$28.4K - $454.9K,$341.2K - $5.5M,A,5,176614,6845649,1643,4550259653,13,113729700,Toys Unlimited
Film,US,"Sep 18th, 2006",$27.3K - $437.5K,$328.2K - $5.3M,A,49,109940,5079037,3897,3674052614,1,109385400,DreamWorksTV
Film,SG,"Jan 6th, 2014",$20.6K - $329.6K,$247.2K - $4M,A,41,153201,3208723,425,2185763632,49,82389300,Oddbods - Official Channel
Film,US,"Feb 8th, 2016",$23.4K - $373.6K,$280.2K - $4.5M,A,91,236098,5583751,210,1421898779,62,93410700,Dima Kids TV
Film,DE,"Oct 18th, 2014",$18.1K - $289.1K,$216.8K - $3.5M,A,203,183955,646376,41,269980708,236,72272700,briQle
Film,IN,"Feb 19th, 2009",$29.4K - $470.8K,$353.1K - $5.6M,A,33,235956,1976720,1590,1126599139,52,117706200,Saurabh Parikh
Film,IN,"Jul 22nd, 2015",$25K - $400.4K,$300.3K - $4.8M,A,16,340740,3209549,349,1038244574,10,100101000,Goldmines Hindi
Film,US,"Oct 9th, 2013",$36.1K - $577.7K,$433.3K - $6.9M,A,8,299036,7102522,345,2536704995,19,144419400,Peppa Pig - Official Channel
Film,,"Feb 2nd, 2017",$32.5K - $520.2K,$390.2K - $6.2M,A,,0,0,7753,1499188403,-1,130050600,Sham Drama شام دراما
Film,FR,"Jun 1st, 2018",$56.3K - $900.7K,$675.5K - $10.8M,A,,734192,825418,30,248628409,1,225178800,Broad Program
Film,IN,"Jan 24th, 2013",$32.1K - $513K,$384.8K - $6.2M,A,13,403183,7495150,176,2556378831,15,128256300,Jingle Toons
Film,US,"Mar 31st, 2015",$33K - $528.6K,$396.5K - $6.3M,A,16,398191,3231446,1344,1096274580,29,132153000,WB Kids
Film,BR,"Jul 30th, 2012",$31.8K - $509.6K,$382.2K - $6.1M,A,42,272159,9824455,752,7498734728,53,127389600,Turma da Mônica
Film,,"May 21st, 2016",$41.5K - $663.7K,$497.8K - $8M,A,31,175166,1974671,622,2332591723,32,165935700,Funny Family Games TV
Film,,"May 6th, 2015",$43.1K - $689.5K,$517.2K - $8.3M,A,105,425133,3252912,386,1547619978,80,172384200,Zig & Sharko
Film,IN,"Jun 27th, 2015",$43.6K - $697.6K,$523.2K - $8.4M,A,19,391981,6940434,3605,4328328113,14,174393600,Wow Kidz
Film,US,"Jan 6th, 2016",$54.5K - $872.6K,$654.5K - $10.5M,A,-8,514340,8613765,440,3876419024,10,218154300,Genevieve's Playhouse - Toy Learning for Kids
Film,IN,"Sep 12th, 2015",$55.9K - $894.4K,$670.8K - $10.7M,A,4,834573,8349495,374,1354821866,16,223590600,Goldmines
Film,CA,"Dec 14th, 2015",$49.4K - $790.8K,$593.1K - $9.5M,A,-23,437149,2458444,889,1517325928,29,197707200,Little Angel: Nursery Rhymes & Kids Songs
Film,US,"Feb 1st, 2007",$64K - $1M,$768.5K - $12.3M,A,41,534623,7635825,407,3605239453,27,256179000,Pencilmation
Film,UA,"May 8th, 2016",$40.1K - $641.1K,$480.9K - $7.7M,A,,0,2958965,406,1240072288,128,160287300,Ali Baba
Film,VN,"Jun 4th, 2012",$51.7K - $827K,$620.3K - $9.9M,A,-8,222194,5243247,6517,2857113771,161,206755200,HTV2-Vie CHANNEL
Film,TR,"Mar 13th, 2016",$50.7K - $810.5K,$607.9K - $9.7M,A,-19,322247,3925110,567,1878918560,14,202617000,OYUNCAKOYNUYORUM
Film,BR,"Apr 14th, 2014",$56.2K - $899.1K,$674.3K - $10.8M,A,22,653958,11668735,607,2933431462,61,224766600,Erlania e Valentina
Film,BR,"Dec 2nd, 2014",$54.4K - $869.9K,$652.5K - $10.4M,A,70,511502,12544217,746,6055882295,76,217485900,Totoykids
Film,AE,"Mar 29th, 2015",$75.4K - $1.2M,$904.6K - $14.5M,A,51,811672,4139586,463,1449423218,47,301542000,shfa
Film,US,"Mar 15th, 2016",$56.3K - $900.1K,$675.1K - $10.8M,A,,0,0,239,1313983336,36,225033000,Happy Lives
Film,US,"Sep 27th, 2012",$72.3K - $1.2M,$867.9K - $13.9M,A,39,371113,4980582,2308,4108708214,42,289284900,Nick Jr.
Film,TR,"Dec 29th, 2014",$79.1K - $1.3M,$949.4K - $15.2M,A+,,0,5483402,506,2298159107,40,316476000,Oyuncak Avı
Film,US,"Apr 28th, 2006",$175.2K - $2.8M,$2.1M - $33.6M,A+,12,1001821,21969411,31362,20162301995,10,700878000,Movieclips
Games,ID,"Feb 19th, 2014",$8.1K - $130.2K,$97.6K - $1.6M,B+,,117073,118511,6,32884641,1,32549400,Muzhaffar394
Games,US,"Nov 9th, 2013",$6.6K - $105.6K,$79.2K - $1.3M,B+,509,337117,1025865,1428,142822280,123,26399460,Randumb
Games,,"May 1st, 2016",$6.4K - $102.1K,$76.6K - $1.2M,B+,6,49400,477977,267,207513284,34,25517520,Hapno Game
Games,BD,"Jul 11th, 2014",$7.4K - $119.2K,$89.4K - $1.4M,B+,19,66268,881847,1698,321981209,18,29795940,Riot
Games,ID,"Mar 17th, 2017",$6.8K - $109.5K,$82.1K - $1.3M,B+,12,103602,902051,335,200170608,13,27367200,Bli Dwiik
Games,TW,"Apr 4th, 2013",$6.2K - $98.7K,$74K - $1.2M,B+,-34,49110,1361819,717,584698401,-9,24670440,DE JuN
Games,TW,"May 11th, 2009",$6K - $95.3K,$71.5K - $1.1M,B+,56,29289,1761972,3563,681591022,35,23830260,阿神
Games,IE,"Aug 13th, 2011",$6.1K - $97.3K,$73K - $1.2M,B+,29,101629,1332176,699,186275509,45,24333390,RTGame
Games,US,"Jun 29th, 2011",$7.3K - $116.6K,$87.4K - $1.4M,B+,8,84740,1881041,1348,448643350,7,29138070,Rakanoo
Games,US,"Dec 6th, 2011",$2.3K - $37.2K,$27.9K - $446.3K,B+,-2,38718,532993,699,281745061,-55,9297540,DropNade
Games,DE,"Mar 23rd, 2015",$6.3K - $100.4K,$75.3K - $1.2M,B+,7,54169,579160,964,296716454,23,25090470,WheelBump
Games,US,"Jun 16th, 2014",$7.3K - $117K,$87.7K - $1.4M,B+,24,66487,2478626,1248,829193894,39,29247120,Kubz Scouts
Games,NL,"Sep 14th, 2009",$9.9K - $157.7K,$118.3K - $1.9M,B+,31,85683,422867,411,182470213,21,39422400,Fortnite Master
Games,BR,"Jul 25th, 2015",$3.6K - $57K,$42.8K - $684.1K,B+,-16,-353,227563,94,34148952,18,14252160,AgarioGamer
Games,BR,"Jan 27th, 2009",$7.7K - $122.9K,$92.2K - $1.5M,B+,106,148081,5507231,3161,795555816,68,30721800,malena010102
Games,US,"Jun 8th, 2016",$10.8K - $173K,$129.7K - $2.1M,B+,31,194898,3006106,614,536946351,22,43239000,MindofRez
Games,ES,"Dec 22nd, 2006",$4.3K - $68.1K,$51.1K - $817.7K,B+,1,34693,115670,510,178101162,87,17035470,Juguetes Famosa
Games,US,"Oct 21st, 2015",$7.6K - $121.4K,$91K - $1.5M,B+,20,112208,1125222,923,360500227,25,30341100,Kindly Keyin
Games,BR,"Feb 22nd, 2015",$6.7K - $107.7K,$80.8K - $1.3M,B+,15,121053,3290530,1621,702907680,44,26925570,ProSidu
Games,KR,"Jun 7th, 2015",$7.7K - $123.4K,$92.5K - $1.5M,B+,41,44581,680453,1203,506012831,42,30839700,겜브링 GGAM BRING
Games,,"May 16th, 2015",$8K - $127.9K,$96K - $1.5M,B+,-21,37304,384943,756,171316281,28,31986900,まいぜんシスターズ
Games,KR,"Feb 11th, 2012",$8.1K - $129.3K,$97K - $1.6M,B+,34,23537,344768,1088,313890444,47,32334600,탁주 TV
Games,VN,"May 12th, 2015",$9.9K - $158.5K,$118.9K - $1.9M,B+,-7,140720,3297528,1000,1051091209,-4,39634800,Oops Banana
Games,RO,"Jan 15th, 2014",$7.6K - $122.3K,$91.7K - $1.5M,B+,29,56344,1903352,5191,1091372999,137,30564900,MaxINFINITE
Games,US,"Aug 2nd, 2017",$8K - $127.3K,$95.5K - $1.5M,B+,91,58796,651745,323,401235844,75,31830300,Combo Panda
Games,SE,"Aug 12th, 2011",$7.2K - $115.9K,$86.9K - $1.4M,B+,-2,16452,222465,874,425818202,0,28969980,Akillheals
Games,US,"Jun 7th, 2011",$6.7K - $107.4K,$80.5K - $1.3M,B+,36,74571,2291737,712,692726865,38,26841120,Random Encounters
Games,KR,"Apr 11th, 2012",$7.6K - $121.9K,$91.4K - $1.5M,B+,35,68526,1360928,835,396265531,45,30468000,악동 김블루
Games,NZ,"Sep 18th, 2016",$7K - $112.4K,$84.3K - $1.3M,B+,45,287980,2112751,88,195443965,45,28095450,McCreamy
Games,US,"Aug 22nd, 2009",$9.3K - $148.1K,$111.1K - $1.8M,B+,14,34751,11390761,496,1901509897,17,37018200,The Game Theorists
Games,US,"Jul 15th, 2014",$7.7K - $123.1K,$92.3K - $1.5M,B+,89,187244,289695,24,48750147,533,30768000,KunKun TV
Games,US,"Sep 9th, 2016",$6.9K - $110.1K,$82.6K - $1.3M,B+,44,33076,181071,120,152082477,44,27534570,Locandro
Games,,"Feb 15th, 2017",$8.2K - $130.6K,$97.9K - $1.6M,B+,19,49099,900605,598,562985429,16,32643600,العاب سيمبا للاطفال
Games,PL,"Aug 6th, 2011",$8K - $128.3K,$96.2K - $1.5M,B+,23,55723,1110840,959,439474064,26,32071800,GPlay: Minecraft Jest Nasz!
Games,IN,"Oct 28th, 2015",$7.4K - $118.7K,$89K - $1.4M,B+,32,121810,976189,347,218238442,43,29682390,Hindustan Gamer
Games,IT,"Aug 15th, 2015",$9.7K - $156K,$117K - $1.9M,B+,-13,78384,1055502,1307,453909283,1,38989200,PORKMODZ
Games,IE,"Oct 17th, 2016",$9.1K - $146.3K,$109.7K - $1.8M,B+,2,88332,1709993,629,392068375,16,36566400,Call Me Kevin
Games,US,"Sep 25th, 2011",$8.2K - $130.7K,$98K - $1.6M,B+,14,48727,6732643,1040,1397228218,7,32676000,I AM WILDCAT
Games,BR,"Sep 21st, 2015",$6.6K - $105.7K,$79.3K - $1.3M,B+,31,108914,1933440,1549,521040770,59,26425740,YouANDi Games
Games,US,"Feb 25th, 2015",$8.6K - $137K,$102.8K - $1.6M,B+,-3,66582,2165212,2520,1380147273,6,34262400,RedHatter
Games,BR,"Apr 26th, 2011",$8.3K - $132.9K,$99.7K - $1.6M,B+,20,221129,4830331,2699,799167807,46,33234600,alanzoka
Games,,"Feb 19th, 2018",$7.4K - $118.7K,$89K - $1.4M,B+,31,191204,1389079,161,130020212,106,29671380,กาย หงิด
Games,FR,"Mar 18th, 2012",$8.8K - $140.7K,$105.5K - $1.7M,B+,30,52290,2315187,3079,1214795976,30,35175000,Furious Jumper
Games,BR,"Sep 5th, 2011",$8K - $127.9K,$95.9K - $1.5M,B+,31,132743,7265792,13721,2628639173,15,31977900,Gameplayrj
Games,US,"Nov 29th, 2010",$8.5K - $136.6K,$102.4K - $1.6M,B+,12,172365,3674163,1777,643745036,7,34138200,TBNRFrags
Games,IN,"Apr 27th, 2016",$7.1K - $113.8K,$85.3K - $1.4M,B+,1,99061,704350,561,179868988,19,28437720,Onespot Gaming
Games,IT,"Sep 19th, 2006",$8.3K - $132.6K,$99.5K - $1.6M,B+,47,44960,339450,271,202164076,59,33154500,Silvia & Kids
Games,US,"May 2nd, 2016",$8.2K - $130.4K,$97.8K - $1.6M,B+,59,149683,1328481,700,210227956,88,32603100,Leah Ashe
Games,RU,"Nov 8th, 2012",$7.9K - $127.1K,$95.3K - $1.5M,B+,21,80545,3028635,2022,924133354,28,31776600,Quantum Games
Games,IT,"Aug 9th, 2012",$9K - $144.5K,$108.4K - $1.7M,B+,20,58030,679433,1106,350179251,41,36132000,GBR - Giochi per Bambini e Ragazzi
Games,US,"Apr 8th, 2014",$10.4K - $166.2K,$124.6K - $2M,B+,15,103212,720956,1304,286127194,125,41538000,PenguinGaming
Games,TH,"Jun 5th, 2015",$9.7K - $155.7K,$116.8K - $1.9M,B+,8,413326,3308807,240,315016154,16,38931000,CGGG
Games,,"Jul 8th, 2016",$4.4K - $70.6K,$53K - $847.6K,B+,,0,0,739,33597306,678,17657370,Android Gameplay
Games,,"Nov 15th, 2017",$9.2K - $147.7K,$110.8K - $1.8M,B+,16,206917,4792224,420,492925932,8,36927900,Daequan Loco
Games,BR,"Oct 9th, 2011",$8.7K - $138.8K,$104.1K - $1.7M,B+,-17,149350,2937199,1680,614081206,15,34698900,GahMarin
Games,BR,"Feb 21st, 2015",$8.8K - $140.3K,$105.2K - $1.7M,B+,12,143256,5105929,988,1163899445,36,35067600,Minguado
Games,US,"Mar 20th, 2010",$9.9K - $157.8K,$118.4K - $1.9M,B+,3,92893,2418261,5467,802051359,24,39460500,MrBossFTW
Games,,"May 23rd, 2015",$3.5K - $55.5K,$41.6K - $666.2K,B+,2,331095,3398591,240,309870974,-57,13878180,UDiEX2
Games,IT,"Dec 8th, 2012",$9.6K - $154K,$115.5K - $1.8M,B+,-36,55863,5089642,1924,2775637057,-3,38493300,➜FavijTV™
Games,US,"Oct 16th, 2016",$9.1K - $146.2K,$109.6K - $1.8M,B+,43,87480,751760,1034,272391243,51,36542400,Fortnite Moments
Games,BR,"Aug 10th, 2018",$8.4K - $133.9K,$100.4K - $1.6M,B+,3,358301,2424404,159,125018830,27,33473400,Final Level
Games,VN,"Nov 12th, 2018",$10.1K - $161.7K,$121.3K - $1.9M,B+,,5268,5361,43,41547449,150,40420800,ZingSpeed Mobile
Games,RO,"Mar 31st, 2015",$9.4K - $150.3K,$112.7K - $1.8M,B+,-9,55866,599326,6448,542378622,-21,37565100,Izabelle DejaVu69
Games,ES,"Aug 22nd, 2013",$9K - $144.2K,$108.2K - $1.7M,B+,-4,143672,3739007,2564,1068582014,-2,36056100,Massi
Games,BR,"Jul 13th, 2011",$8.8K - $141.1K,$105.8K - $1.7M,B+,-24,128837,10862939,3063,3692690323,-8,35283000,TazerCraft
Games,DE,"Jul 23rd, 2012",$10.1K - $162K,$121.5K - $1.9M,B+,-10,34754,1563421,1764,1027341236,-4,40505100,Arazhul
Games,US,"May 22nd, 2013",$6.9K - $110.3K,$82.7K - $1.3M,B+,143,346937,1154820,509,101913982,85,27572340,CouRage
Games,US,"Apr 27th, 2008",$11K - $176.8K,$132.6K - $2.1M,B+,24,337928,7975108,231,1145310634,-10,44195100,Marmok
Games,US,"Apr 10th, 2016",$7.1K - $113.6K,$85.2K - $1.4M,B+,42,44141,2334922,245,661413075,56,28402860,Oh Long Johnson
Games,BR,"Sep 10th, 2011",$9.4K - $150.2K,$112.7K - $1.8M,B+,2,176920,5474319,780,1211202105,20,37561800,Games EduUu
Games,NO,"Nov 28th, 2014",$9.8K - $157.2K,$117.9K - $1.9M,B+,-8,98018,3137962,283,876951189,-1,39309000,Red Arcade
Games,,"Dec 9th, 2009",$9.6K - $153.1K,$114.8K - $1.8M,B+,79,35918,576034,129,638945310,102,38269800,jogodoido1
Games,KR,"Aug 16th, 2013",$9.8K - $156.4K,$117.3K - $1.9M,B+,92,36987,338551,4479,354809045,101,39094200,돼지저금통
Games,ID,"Apr 2nd, 2013",$9K - $143.4K,$107.6K - $1.7M,B+,46,489400,1116244,271,76927489,67,35855400,kemas pake z
Games,NO,"Jan 29th, 2011",$7.9K - $127.1K,$95.3K - $1.5M,B+,52,48410,852384,2795,479187134,63,31767000,MovieAccessTrailers
Games,JP,"Mar 18th, 2014",$9.6K - $154.1K,$115.6K - $1.8M,B+,12,25382,1174325,5450,2072465665,21,38518500,ぐっちの部屋(ミラクルぐっち)
Games,ES,"Dec 10th, 2009",$11.4K - $181.8K,$136.4K - $2.2M,B+,39,115527,4897541,2087,1448055746,40,45457200,DjMaRiiO
Games,ES,"Jan 26th, 2011",$10.3K - $164.1K,$123.1K - $2M,B+,-5,128123,15263572,5315,5302561490,3,41021400,TheWillyrex
Games,US,"Oct 21st, 2010",$9.8K - $157.4K,$118.1K - $1.9M,B+,31,63344,5222223,619,1908966662,33,39357000,videogamedunkey
Games,TR,"Aug 3rd, 2015",$9.8K - $156.9K,$117.6K - $1.9M,B+,15,87412,2028394,1467,743748992,32,39213600,SeseGel
Games,US,"Nov 27th, 2006",$10.6K - $169.3K,$127K - $2M,B+,6,101216,9873523,5879,3852147154,9,42323100,theRadBrad
Games,,"Jul 24th, 2015",$10.4K - $166.5K,$124.9K - $2M,B+,52,134385,2609175,759,744635287,39,41624700,EugenBro
Games,RU,"Jan 27th, 2013",$9.7K - $155.5K,$116.6K - $1.9M,B+,0,199129,2859419,4285,498041420,8,0,Demaster
Games,TH,"Aug 23rd, 2011",$9.9K - $158.3K,$118.7K - $1.9M,B+,14,283398,3253331,1152,585737423,13,39567000,PojzPlaza
Games,ID,"Jan 22nd, 2014",$11.1K - $176.9K,$132.7K - $2.1M,B+,-16,231380,2689295,561,498049288,8,44227800,Frost Diamond
Games,US,"Jan 26th, 2016",$10.3K - $164.6K,$123.4K - $2M,B+,188,67881,298425,331,143939742,188,41148900,Royale Clips
Games,US,"Nov 28th, 2012",$11.7K - $187.6K,$140.7K - $2.3M,B+,17,113636,4777482,443,847362420,10,46909500,GamingWithJen
Games,KR,"May 22nd, 2014",$10K - $159.9K,$119.9K - $1.9M,A-,20,34604,1673232,1806,1226448291,40,39972000,잠뜰 TV
Games,BR,"Oct 30th, 2015",$9.5K - $152.5K,$114.4K - $1.8M,A-,14,190814,3906137,2181,664832506,27,38118300,BETO GAMER
Games,DE,"Oct 17th, 2012",$12.4K - $197.7K,$148.3K - $2.4M,A-,-2,41678,3179208,4787,1941653324,23,49418700,Paluten
Games,VN,"Nov 22nd, 2016",$11.2K - $178.6K,$133.9K - $2.1M,A-,-1,103673,3432052,2752,1340274666,0,44638200,Mobile MOBA Việt
Games,BR,"Apr 5th, 2010",$10.1K - $161.2K,$120.9K - $1.9M,A-,21,127570,4777097,4536,1326985026,32,40304700,jvnq
Games,MX,"Jan 1st, 2012",$11.8K - $189.4K,$142K - $2.3M,A-,-25,194766,5338119,1133,1068289618,-7,47349600,Hueva
Games,MX,"May 25th, 2015",$11.3K - $180.2K,$135.2K - $2.2M,A-,-11,296027,8621135,342,1120021907,19,45061800,Antrax
Games,AU,"Oct 10th, 2014",$8.3K - $133.2K,$99.9K - $1.6M,A-,281,154371,1072357,833,253460494,528,33309600,Yode
Games,CA,"Apr 24th, 2016",$12.6K - $201.7K,$151.3K - $2.4M,A-,116,146460,2880866,1241,967498650,32,50424600,GamerGirl
Games,US,"Jan 14th, 2014",$12.6K - $201.9K,$151.4K - $2.4M,A-,120,184983,1288518,1025,421789507,99,50467200,Alpharad
Games,FI,"Jun 15th, 2006",$11.2K - $179.7K,$134.7K - $2.2M,A-,42,59216,2778100,1752,3884072705,57,44914500,Angry Birds
Games,CL,"Feb 1st, 2014",$11.9K - $190.9K,$143.1K - $2.3M,A-,21,206017,4510214,1601,1194104726,9,47715000,DeGoBooM
Games,GB,"Aug 4th, 2013",$12.6K - $201.7K,$151.3K - $2.4M,A-,25,126475,4735214,2868,1964078744,32,50433300,Slogoman
Games,JP,"May 5th, 2010",$11.9K - $189.6K,$142.2K - $2.3M,A-,51,36769,2431559,4494,2210145491,26,47406300,兄者弟者
Games,JP,"Mar 1st, 2014",$13.2K - $211.9K,$158.9K - $2.5M,A-,41,70598,1853687,1660,1188327343,43,52963800,キヨ。
